"school_name","distance_to_nearest_park_miles","duration","nearest_park","ela_proficiency","SAT_average_reading_score","SAT_average_math_score","isa_proficiency","latitude","longitude"
"Gillespie Elem School",0.6,15,"ABBOTT (ROBERT)",20,NA,NA,18,41.7251984,-87.6231392
"Goethe Elem School",0.3,6,"HAAS (JOSEPH)",112,NA,NA,44,41.9227455,-87.6931892
"Goode STEM Academy HS",0.1,2,"DOOLEY (THOMAS)",8,405.2,393.4,24,41.7539265,-87.7064547
"Goudy Technology Academy",0.2,6,"CARMEN",95,NA,NA,55,41.9759442,-87.6580331
"Graham  A Elem School",0.2,4,"PRITZKER",13,NA,NA,10,41.8781136,-87.6297982
"Gray Elem School",0.2,4,"PRITZKER",147,NA,NA,95,41.8781136,-87.6297982
"Great Lakes Academy Charter ES",0.6,13,"ECKERSALL (WALTER HERBERT)",114,NA,NA,43,41.7426078,-87.5597584
"Greeley Elem School",0.3,7,"KELLY (JOHN)",83,NA,NA,50,41.9529857,-87.6508832
"Green  W Elem School",0.4,10,"OAKDALE",62,NA,NA,26,41.719451,-87.6520544
"Greene N Elem School",0.4,10,"KUCINSKI-MURPHY (VICKI, ROSEBETH)",32,NA,NA,19,41.8297009,-87.6712912
"Gregory Math & Sci Elem Academy",0.2,4,"PRITZKER",37,NA,NA,8,41.8781136,-87.6297982
"Gresham Elem School",0.2,4,"PRITZKER",33,NA,NA,7,41.8781136,-87.6297982
"Grimes Elem School",0.5,11,"LAWLER (MICHAEL)",83,NA,NA,33,41.7756581,-87.7584153
"Grissom Elem School",0.6,12,"MANN (JAMES)",85,NA,NA,41,41.662353,-87.5535608
"Gunsaulus Elem Scholastic Academy",0.7,15,"KELLY (EDWARD)",75,NA,NA,74,41.8125253,-87.6998016
"Haines Elem School",0.2,4,"SUN YAT-SEN",201,NA,NA,94,41.8497616,-87.6338015
"Hale Elem School",0.1,3,"HALE (NATHAN)",186,NA,NA,110,41.7804544,-87.7769521
"Haley Elem Academy",0.7,15,"PARK NO. 589",42,NA,NA,21,41.6863606,-87.6333718
